filename,amusement,anger,awe,contentment,disgust,excitement,fear,sadness
amusement/amusement_02938.mp3,0.46,0.41,0.18,0.22,0.45,0.68,0.4,0.15
amusement/amusement_02946.mp3,0.1,0.28,0.02,0.0,0.0,0.48,0.38,0.0
amusement/amusement_08239.mp3,0.43,0.33,0.44,0.41,0.65,0.4,0.24,0.16
amusement/amusement_08302.mp3,0.19,0.65,0.46,0.46,0.47,0.63,0.25,0.22
amusement/amusement_08316.mp3,0.0,0.0,0.48,0.0,0.0,0.0,0.49,0.0
amusement/amusement_17644.mp3,0.41500000000000004,0.43,0.71,0.81,0.595,0.245,0.89,0.71
amusement/amusement_17647.mp3,0.44,0.205,0.255,0.33999999999999997,0.29,0.4,0.285,0.245
amusement/amusement_18892.mp3,0.48,0.25,0.25,0.49,0.05,0.49,0.01,0.02
amusement/amusement_19692.mp3,0.355,0.505,0.48,0.35,0.41500000000000004,0.46499999999999997,0.475,0.465
anger/anger_01989.mp3,0.42,0.17,0.0,0.45,0.0,0.67,0.0,0.18
anger/anger_02002.mp3,0.74,0.49,0.51,0.73,0.25,0.74,0.24,0.01
anger/anger_02010.mp3,0.51,0.0,0.0,0.28,0.0,0.35,0.0,0.0
anger/anger_04337.mp3,0.51,0.25,0.46,0.49,0.03,0.73,0.01,0.01
anger/anger_08253.mp3,0.35,0.0,0.0,0.4,0.08,0.02,0.0,0.0
anger/anger_09078.mp3,0.2,0.19,0.6,0.2,0.42,0.22,0.45,0.47
awe/awe_09117.mp3,0.26,0.38,0.55,0.04,0.0,0.64,0.26,0.0
awe/awe_09139.mp3,0.41,0.0,0.1,0.39,0.17,0.39,0.0,0.0
awe/awe_09148.mp3,0.48,0.2,0.48,0.48,0.19,0.19,0.05,0.04
awe/awe_09150.mp3,0.23,0.02,0.25,0.49,0.01,0.51,0.02,0.0
awe/awe_09155.mp3,0.48,0.23,0.48,0.48,0.62,0.51,0.25,0.45
awe/awe_09172.mp3,0.48,0.02,0.49,0.46,0.01,0.5,0.02,0.24
contentment/contentment_09986.mp3,0.46,0.22,0.45,0.15,0.16,0.43,0.15,0.21
contentment/contentment_10003.mp3,0.58,0.16,0.35,0.37,0.06,0.6,0.02,0.15
contentment/contentment_10023.mp3,0.5,0.49,0.73,0.26,0.25,0.52,0.25,0.03
contentment/contentment_10027.mp3,0.0,0.45,0.19,0.16,0.65,0.19,0.41,0.66
contentment/contentment_10029.mp3,1.0,0.0,0.0,0.73,0.0,0.85,0.0,0.0
contentment/contentment_10032.mp3,0.25,0.01,0.04,0.59,0.0,0.2,0.0,0.0
contentment/contentment_10033.mp3,0.26,0.47,0.25,0.25,0.01,0.22,0.24,0.0
disgust/disgust_02058.mp3,0.13,0.15,0.46,0.02,0.0,0.73,0.53,0.0
disgust/disgust_02529.mp3,0.6,0.41,0.51,0.17,0.62,0.45,0.21,0.64
disgust/disgust_02553.mp3,0.21,0.4,0.32,0.41,0.68,0.38,0.18,0.23
disgust/disgust_04041.mp3,0.18,0.42,0.46,0.19,0.63,0.47,0.46,0.44
disgust/disgust_06427.mp3,0.24,0.49,0.5,0.02,0.51,0.24,0.25,0.02
disgust/disgust_10795.mp3,0.51,0.27,0.49,0.25,0.24,0.5,0.25,0.0
excitement/excitement_07981.mp3,0.62,0.02,0.62,0.02,0.02,0.6,0.02,0.05
excitement/excitement_07982.mp3,0.0,0.34,0.53,0.0,0.0,0.79,0.67,0.0
excitement/excitement_07984.mp3,0.68,0.0,0.45,0.43,0.2,0.48,0.08,0.09
excitement/excitement_08026.mp3,0.97,0.52,0.74,0.49,0.04,0.75,0.25,0.0
excitement/excitement_08037.mp3,0.47,0.25,0.24,0.46,0.02,0.48,0.0,0.01
excitement/excitement_15991.mp3,0.66,0.68,0.62,0.5,0.24,0.68,0.21,0.45
fear/fear_03308.mp3,0.5,0.49,0.51,0.25,0.26,0.51,0.5,0.24
fear/fear_03314.mp3,0.55,0.27,0.05,0.59,0.0,0.6,0.0,0.0
fear/fear_09171.mp3,0.59,0.0,0.0,0.44,0.0,0.03,0.0,0.0
fear/fear_09195.mp3,0.0,0.89,0.61,0.15,0.64,0.45,0.69,0.65
fear/fear_09208.mp3,0.72,0.48,0.24,0.5,0.25,0.5,0.25,0.01
fear/fear_09248.mp3,0.16,0.58,0.19,0.01,0.63,0.42,0.19,0.42
sadness/sadness_03448.mp3,0.27,0.0,0.0,0.06,0.07,0.45,0.0,0.0
sadness/sadness_03457.mp3,0.04,0.46,0.45,0.06,0.45,0.16,0.16,0.62
sadness/sadness_07944.mp3,0.21,0.0,0.24,0.46,0.0,0.68,0.21,0.22
sadness/sadness_07946.mp3,0.73,0.26,0.26,0.48,0.01,0.26,0.02,0.01
sadness/sadness_07963.mp3,0.73,0.49,0.96,0.48,0.24,0.74,0.25,0.49
sadness/sadness_07975.mp3,0.23,0.0,0.0,0.32,0.0,0.55,0.05,0.0
